Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,Core\Algorithm\WorldGen.Algorithm.SquaredDiamond\WorldGen.Algorithm.SquaredDiamond.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,Core\Algorithm\WorldGen.Algorithm.SquaredDiamond\WorldGen.Algorithm.SquaredDiamond.csproj,File,Core\Algorithm\WorldGen.Algorithm.SquaredDiamond\WorldGen.Algorithm.SquaredDiamond.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,Core\Algorithm\WorldGen.Algorithm.TetrahedralSubdivision\WorldGen.Algorithm.TetrahedralSubdivision.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,Core\Algorithm\WorldGen.Algorithm.TetrahedralSubdivision\WorldGen.Algorithm.TetrahedralSubdivision.csproj,File,Core\Algorithm\WorldGen.Algorithm.TetrahedralSubdivision\WorldGen.Algorithm.TetrahedralSubdivision.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,Core\WorldGen.Common\WorldGen.Common.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
NuGet.0004,El paquete NuGet contiene una vulnerabilidad de seguridad.,Active,Optional,1,Core\WorldGen.Common\WorldGen.Common.csproj,File,Core\WorldGen.Common\WorldGen.Common.csproj,,,SixLabors.ImageSharp 3.1.2,,,,,"SixLabors.ImageSharp, 3.1.2  Recomendación:  SixLabors.ImageSharp, 3.1.12"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,Core\WorldGen.Common\WorldGen.Common.csproj,File,Core\WorldGen.Common\WorldGen.Common.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,Console\WorldGen.Console.TestConsole\WorldGen.Console.TestConsole.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,Console\WorldGen.Console.TestConsole\WorldGen.Console.TestConsole.csproj,File,Console\WorldGen.Console.TestConsole\WorldGen.Console.TestConsole.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
NuGet.0006,Se recomiendan las asignaciones de origen del paquete NuGet,Active,Information,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,NuGet.config,,,,,,,,Se encontraron 1 archivos que coinciden con la regla:    NuGet.config  
